"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGNLEND","TOT","PC_GDP","A","2006",-2.4986828180938,
"AUT","GGNLEND","TOT","PC_GDP","A","2007",-1.31650812116201,
"AUT","GGNLEND","TOT","PC_GDP","A","2008",-1.44848571606402,
"AUT","GGNLEND","TOT","PC_GDP","A","2009",-5.31737559137625,
"AUT","GGNLEND","TOT","PC_GDP","A","2010",-4.44779255161178,
"AUT","GGNLEND","TOT","PC_GDP","A","2011",-2.55737058593214,
"AUT","GGNLEND","TOT","PC_GDP","A","2012",-2.16964003373286,
"AUT","GGNLEND","TOT","PC_GDP","A","2013",-1.28791881844511,
"AUT","GGNLEND","TOT","PC_GDP","A","2014",-2.69847237847749,
"BEL","GGNLEND","TOT","PC_GDP","A","2006",0.294034812742223,
"BEL","GGNLEND","TOT","PC_GDP","A","2007",0.059643819641267,
"BEL","GGNLEND","TOT","PC_GDP","A","2008",-1.09886292386165,
"BEL","GGNLEND","TOT","PC_GDP","A","2009",-5.38570048253775,
"BEL","GGNLEND","TOT","PC_GDP","A","2010",-3.96972344638881,
"BEL","GGNLEND","TOT","PC_GDP","A","2011",-4.10333785273776,
"BEL","GGNLEND","TOT","PC_GDP","A","2012",-4.14969322619696,
"BEL","GGNLEND","TOT","PC_GDP","A","2013",-2.90948028897451,
"BEL","GGNLEND","TOT","PC_GDP","A","2014",-3.11064963071862,
"CZE","GGNLEND","TOT","PC_GDP","A","2006",-2.25480599384511,
"CZE","GGNLEND","TOT","PC_GDP","A","2007",-0.694265569433212,
"CZE","GGNLEND","TOT","PC_GDP","A","2008",-2.10716585818507,
"CZE","GGNLEND","TOT","PC_GDP","A","2009",-5.51373122781806,
"CZE","GGNLEND","TOT","PC_GDP","A","2010",-4.41407195526363,"B"
"CZE","GGNLEND","TOT","PC_GDP","A","2011",-2.7382150104748,
"CZE","GGNLEND","TOT","PC_GDP","A","2012",-3.95914004567487,
"CZE","GGNLEND","TOT","PC_GDP","A","2013",-1.25024864432126,
"CZE","GGNLEND","TOT","PC_GDP","A","2014",-1.94691902106745,
"DNK","GGNLEND","TOT","PC_GDP","A","2006",4.98569869015096,
"DNK","GGNLEND","TOT","PC_GDP","A","2007",5.01930701722108,
"DNK","GGNLEND","TOT","PC_GDP","A","2008",3.18077913957187,
"DNK","GGNLEND","TOT","PC_GDP","A","2009",-2.81131760678655,
"DNK","GGNLEND","TOT","PC_GDP","A","2010",-2.72877031594269,
"DNK","GGNLEND","TOT","PC_GDP","A","2011",-2.07095653767527,
"DNK","GGNLEND","TOT","PC_GDP","A","2012",-3.58159484761968,
"DNK","GGNLEND","TOT","PC_GDP","A","2013",-1.25288938387829,
"DNK","GGNLEND","TOT","PC_GDP","A","2014",1.52183895265276,
"FIN","GGNLEND","TOT","PC_GDP","A","2006",3.92841832064607,
"FIN","GGNLEND","TOT","PC_GDP","A","2007",5.12905715388243,
"FIN","GGNLEND","TOT","PC_GDP","A","2008",4.17632452467852,
"FIN","GGNLEND","TOT","PC_GDP","A","2009",-2.53163857724453,
"FIN","GGNLEND","TOT","PC_GDP","A","2010",-2.62105825761625,
"FIN","GGNLEND","TOT","PC_GDP","A","2011",-1.01539602476774,
"FIN","GGNLEND","TOT","PC_GDP","A","2012",-2.12219647334992,
"FIN","GGNLEND","TOT","PC_GDP","A","2013",-2.53769550613338,
"FIN","GGNLEND","TOT","PC_GDP","A","2014",-3.32979169306651,
"FRA","GGNLEND","TOT","PC_GDP","A","2006",-2.34181043530155,
"FRA","GGNLEND","TOT","PC_GDP","A","2007",-2.54368418077063,
"FRA","GGNLEND","TOT","PC_GDP","A","2008",-3.18324523386026,
"FRA","GGNLEND","TOT","PC_GDP","A","2009",-7.16228893300059,
"FRA","GGNLEND","TOT","PC_GDP","A","2010",-6.79491073470301,
"FRA","GGNLEND","TOT","PC_GDP","A","2011",-5.09696574149073,
"FRA","GGNLEND","TOT","PC_GDP","A","2012",-4.81319680736623,
"FRA","GGNLEND","TOT","PC_GDP","A","2013",-4.08194409337771,
"FRA","GGNLEND","TOT","PC_GDP","A","2014",-3.94508848746207,
"DEU","GGNLEND","TOT","PC_GDP","A","2006",-1.72150840906717,
"DEU","GGNLEND","TOT","PC_GDP","A","2007",0.18724907787986,
"DEU","GGNLEND","TOT","PC_GDP","A","2008",-0.176871969833004,
"DEU","GGNLEND","TOT","PC_GDP","A","2009",-3.23499764254475,
"DEU","GGNLEND","TOT","PC_GDP","A","2010",-4.22098710882693,
"DEU","GGNLEND","TOT","PC_GDP","A","2011",-0.956783272662701,
"DEU","GGNLEND","TOT","PC_GDP","A","2012",-0.087881053846656,
"DEU","GGNLEND","TOT","PC_GDP","A","2013",-0.110535234435377,
"DEU","GGNLEND","TOT","PC_GDP","A","2014",0.306312486066572,
"GRC","GGNLEND","TOT","PC_GDP","A","2006",-5.94597758004825,
